text	url
AFI Top 10 Films of 2021:   •CODA •DON’T LOOK UP •DUNE •KING RICHARD •LICORICE PIZZA •NIGHTMARE ALLEY •THE POWER OF THE DOG •tick, tick… BOOM! •THE TRAGEDY OF MACBETH •WEST SIDE STORY  https://t.co/J0ok5AGWC6	https://twitter.com/i/web/status/1468738940173619200
Finally watching King Richard and I’m already excited	https://twitter.com/i/web/status/1468737129069092867
#nw: king richard https://t.co/dewa5LX00r	https://twitter.com/i/web/status/1468736888630648834
Today on #WhattoWatchWednesday is King Richard 👑 A film that is also highly recommended by my dear friend @davekarger. You can find his take on the film on my podcast. It’s currently on @hbomax. Have you seen it? https://t.co/7QietmqonE https://t.co/vpZ14TW9gg	https://twitter.com/i/web/status/1468736706799185921
King Richard is a good ass movie fr omg	https://twitter.com/i/web/status/1468735079417532416
🏆 Awards season has arrived. Will Smith is generating buzz for his work as Richard Williams in “King Richard”. Andrew Garfield is also turning heads with his performance as Jonathon Larson in “tick, tick, BOOM!”. In this new episode, we’ve got reviews… https://t.co/2tQgFLdLmX	https://twitter.com/i/web/status/1468734774499950594
If you missed it, check out my interview with Will Smith about faith and his new movie #KingRichard  !   https://t.co/2xZDRD8mxj	https://twitter.com/i/web/status/1468733328513638403
King Richard is a really good movie!	https://twitter.com/i/web/status/1468733313590378504
Balling my eyes out watching the end of King Richard. So touching 🥺	https://twitter.com/i/web/status/1468732484556886018
The Best Movies of 2021: Finding Pleasure in Diverse Films - The Wall Street Journal 🙋 https://t.co/VLvsmsQO2j  something to give away 🎁 https://t.co/8EeWLGTKE3	https://twitter.com/i/web/status/1468730111247667200
King Richard is long af but I’m fresh in from a very productive day. I deserve	https://twitter.com/i/web/status/1468729701086777355
My ★★★★½ review of King Richard on @letterboxd: https://t.co/HTDNsHAlTE	https://twitter.com/i/web/status/1468729122184646658
My boss said he needs to take my black card because I haven’t seen King Richard yet. Sir, your wife is yt?? 😒	https://twitter.com/i/web/status/1468728543928471552
I'm at Century Theatre - @cinemark for King Richard in Union City, CA https://t.co/Jb8zVzZXwg	https://twitter.com/i/web/status/1468728295944511490
Watching king Richard I'm half way through and I sooo badly want to get into tennis, like I always did but this makes me want want to 😩 But idk where to start 😭	https://twitter.com/i/web/status/1468728237664743428
I know we tired of #willandjada but I do like watching him on everything else #kingrichard #WelcomeToEarthSeries	https://twitter.com/i/web/status/1468727572041289730
"KING RICHARD non-flight....for stolen 'manufacture'......, wherever he was ('Silent Hill') trapped in Subway system under 'between China &amp; Japan somewhere,(Harlem) .throughout ""fuck you upgrades"" and ""attempts @ befitting through lineal psychotic 'scientific experimentations'-&gt; https://t.co/wyatdhfkIM"	https://twitter.com/i/web/status/1468727548079050752
I finally watched King Richard, and it’s fantastic. I highly recommend it! Will Smith is incredible in it.	https://twitter.com/i/web/status/1468727285402542086
ASSISTAM ESSE FILME  My ★★★★★ review of King Richard on @letterboxd: https://t.co/wLibNBuyOg	https://twitter.com/i/web/status/1468726625730768901
King Richard was a Good Movie	https://twitter.com/i/web/status/1468726484206604295
Belfast West Side Story Dune Tick Tick Boom CODA Spencer King Richard The Power of the Dog Licorice Pizza Nightmare Alley	https://twitter.com/i/web/status/1468726332502654978
King Richard really a dope movie!	https://twitter.com/i/web/status/1468725066556968963
Aye #KingRichard had a real nigga in tears 😭🤣! Gotta up my shit for my lul girl	https://twitter.com/i/web/status/1468724818942046209
Succession, Schmigadoon, King Richard, Dune &amp; More Are 2021 AFI AWARDS Honorees #Succession #schmigadoon #KingRichard #Dune #DontLookUp #WandaVision #TedLasso #WestSideStory #MAIDNetflix #SquidGame https://t.co/mzCbvYlOiK	https://twitter.com/i/web/status/1468724787535040514
We went to see King Richard tonight and it was so inspiring and uplifting - the audience burst into applause at the end! I basically cried my eyes out for 2 hours because sporting achievement does that to me 😭😭😭  #KingRichard https://t.co/sMmSakaTc8	https://twitter.com/i/web/status/1468723359655550978
Movies that made both AFI’s and NBR’s top 10.  Licorice Pizza (won top prize at NBR) Westside Story Don’t Look Up The tragedy of Macbeth Dune King Richard Nightmare Alley	https://twitter.com/i/web/status/1468723081510207491
There’s a showing for ‘King Richard’ in about an hour but is it movie theatre worthy or just watch in the crib?	https://twitter.com/i/web/status/1468723000514068481
King Richard is a great movie.	https://twitter.com/i/web/status/1468722937817673731
Pay for our legit services in; #Econometrics #Math #Physics Biology #Essaydue #Paperwrite #Engineering #English #Casestudy #essay #homework #Onlineclass  #Religion #KingRichard #Assignment  #Chemistry #history #WomenWhoCode  #100DaysOfCode @Legitwriters21  #UK #SaudiArabia #UAE https://t.co/lSGnTw10tc	https://twitter.com/i/web/status/1468722707902738433
"#5Stars ""Great Historical Work""  Not once, but twice in his minority, young King Richard II struggled to save his crown. His enemies unwittingly laid the foundation for their own destruction in  A KING UNDER SIEGE  by Mercedes Rochelle https://t.co/bienrM86tq   @authorRochelle https://t.co/Sf0uq4Wf7x"	https://twitter.com/i/web/status/1468719561843396614
